candidate,period,horizon,n,exceedances,mae,rmse,median_ae,bias,point_recall,point_precision,point_fpr,brier,brier_skill,auc,prob_recall,prob_precision,prob_fpr,alarms,interval80_coverage,level_substituted_fraction
anchored_pak,2024,60,342,31,1.2416412718666692,1.9063854818041979,0.8646291295687352,-0.12273179337411365,0.2903225806451613,0.3333333333333333,0.05787781350482315,,,,,,,,,0.05555555555555555
v3_saved,2024,60,342,31,1.1920125181775394,1.7984014085045135,0.8232738132094344,0.3406815369964438,0.16129032258064516,0.2777777777777778,0.04180064308681672,0.09080926857706904,-0.10169228190522817,0.7286588528160979,0.41935483870967744,0.25,0.12540192926045016,52.0,,
v3_refit,2024,60,342,31,1.1748825872813566,1.7831631608294662,0.787854365762664,0.3172177909150874,0.16129032258064516,0.29411764705882354,0.03858520900321544,0.09125915874917763,-0.10715032091471977,0.73239290530028,0.41935483870967744,0.29545454545454547,0.09967845659163987,44.0,0.7543859649122807,
hgb_fixed,2024,60,342,31,1.1298372000084154,1.615490840960733,0.7936020912252384,0.2995101083238651,0.25806451612903225,0.38095238095238093,0.04180064308681672,0.1040787798714508,-0.26267715059479024,0.7460325692355565,0.6129032258064516,0.20430107526881722,0.2379421221864952,93.0,0.6812865497076024,
v4r,2024,120,344,28,1.1631754494284001,1.6498228778041826,0.8090295868742672,0.18996123542015297,0.10714285714285714,0.23076923076923078,0.03164556962025317,0.07625552561517611,-0.019865944755592224,0.7171112115732369,0.25,0.28,0.056962025316455694,25.0,0.7732558139534884,
naive_previous_lab,2024,120,344,28,1.6459302354690641,2.2879995558659254,1.25000023841858,0.003488369459329634,0.17857142857142858,0.1724137931034483,0.0759493670886076,,,,,,,,,0.0
anchored_q21,2024,120,344,28,1.4714186456083327,2.2091053323685723,1.0530442992846183,0.22405202351799308,0.42857142857142855,0.27906976744186046,0.0981012658227848,,,,,,,,,0.0029069767441860465
anchored_pak,2024,120,344,28,1.343695120566052,1.8862629785275424,1.0552519361178065,-0.13778786646886268,0.32142857142857145,0.32142857142857145,0.060126582278481014,,,,,,,,,0.05813953488372093
v3_saved,2024,120,344,28,1.2939660731683473,1.8307631626404106,0.9660864412357144,0.4997073959264868,0.10714285714285714,0.3,0.022151898734177215,0.08203221307117131,-0.09712522219599085,0.6940551537070524,0.5,0.2692307692307692,0.12025316455696203,52.0,,
v3_refit,2024,120,344,28,1.3017031502494214,1.8312179917956735,0.9889703197356496,0.5330164321197848,0.10714285714285714,0.3,0.022151898734177215,0.08611244355891964,-0.1516955380863827,0.6960895117540687,0.5,0.2641509433962264,0.12341772151898735,53.0,0.7122093023255814,
hgb_fixed,2024,120,344,28,1.3366277603566796,1.7709133836210105,1.0017889675993996,0.5227297394247277,0.25,0.35,0.04113924050632911,0.12202705816464503,-0.6320291540428835,0.6629746835443038,0.5357142857142857,0.11538461538461539,0.3639240506329114,130.0,0.6337209302325582,
v4r,2024,180,339,27,1.3064527915740256,1.895409409651292,0.9027742752719536,0.5159123321719697,0.037037037037037035,1.0,0.0,0.07300861480048532,0.004009612833977161,0.6847103513770181,0.037037037037037035,0.1111111111111111,0.02564102564102564,9.0,0.7551622418879056,
naive_previous_lab,2024,180,339,27,1.7471976470103305,2.974319808494234,1.200000286102295,0.1041297989960617,0.18518518518518517,0.19230769230769232,0.0673076923076923,,,,,,,,,0.0
anchored_q21,2024,180,339,27,1.5791507066175299,2.431628214813393,1.1358868281046535,0.17123220170845338,0.2962962962962963,0.21621621621621623,0.09294871794871795,,,,,,,,,0.0029498525073746312
anchored_pak,2024,180,339,27,1.5032012092527425,2.1443920683851743,1.0826344490051252,0.010813209308346025,0.2222222222222222,0.23076923076923078,0.0641025641025641,,,,,,,,,0.061946902654867256
v3_saved,2024,180,339,27,1.4372419726979175,2.0012830174904153,1.044196976151234,0.6967094044397082,0.037037037037037035,0.3333333333333333,0.00641025641025641,0.08231157104569875,-0.12290219090013643,0.6401946818613485,0.14814814814814814,0.17391304347826086,0.060897435897435896,23.0,,
v3_refit,2024,180,339,27,1.4878045785267673,2.068296708598192,1.0982124537709161,0.7191347608824759,0.037037037037037035,0.125,0.022435897435897436,0.1071665233737097,-0.4619757873492518,0.6241690408357075,0.25925925925925924,0.11666666666666667,0.16987179487179488,60.0,0.6902654867256637,
hgb_fixed,2024,180,339,27,1.4063207804674207,1.9730085911849677,1.0546476837704883,0.44910577750181757,0.1111111111111111,0.1875,0.041666666666666664,0.12205690177192209,-0.6651117294077711,0.6296296296296297,0.48148148148148145,0.12264150943396226,0.2980769230769231,106.0,0.6902654867256637,
v4r,2025,0,407,72,1.0680855296033578,2.0794715959204253,0.5974306672947005,0.051169508547280605,0.4583333333333333,0.5789473684210527,0.07164179104477612,0.13210653065620487,0.0927315631563147,0.7562189054726368,0.6666666666666666,0.375,0.23880597014925373,128.0,0.7960687960687961,
