year,horizon,cost_ratio,policy,threshold,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2026,60,1,residual_bayes,0.5,236,34,3,5,31,197,0.08823529411764706,0.375,0.024752475247524754,0.03389830508474576,36.0,15.254237288135593
2026,60,1,always_alarm,0.0,236,34,34,202,0,0,1.0,0.1440677966101695,1.0,1.0,202.0,85.59322033898306
2026,60,1,never_alarm,2.0,236,34,0,0,34,202,0.0,,0.0,0.0,34.0,14.40677966101695
2026,60,1,active_runtime,0.2,236,34,19,46,15,156,0.5588235294117647,0.2923076923076923,0.22772277227722773,0.2754237288135593,61.0,25.847457627118644
2026,60,1,active_bayes,0.5,236,34,3,4,31,198,0.08823529411764706,0.42857142857142855,0.019801980198019802,0.029661016949152543,35.0,14.83050847457627
2026,60,2,logistic_empirical,0.2872469626651988,236,34,6,10,28,192,0.17647058823529413,0.375,0.04950495049504951,0.06779661016949153,66.0,27.966101694915253
2026,60,2,logistic_bayes,0.3333333333333333,236,34,3,6,31,196,0.08823529411764706,0.3333333333333333,0.0297029702970297,0.038135593220338986,68.0,28.8135593220339
2026,60,2,logistic_fixed_030,0.3,236,34,4,9,30,193,0.11764705882352941,0.3076923076923077,0.04455445544554455,0.05508474576271186,69.0,29.23728813559322
2026,60,2,residual_bayes,0.3333333333333333,236,34,16,29,18,173,0.47058823529411764,0.35555555555555557,0.14356435643564355,0.1906779661016949,65.0,27.54237288135593
2026,60,2,always_alarm,0.0,236,34,34,202,0,0,1.0,0.1440677966101695,1.0,1.0,202.0,85.59322033898306
2026,60,2,never_alarm,2.0,236,34,0,0,34,202,0.0,,0.0,0.0,68.0,28.8135593220339
2026,60,2,active_runtime,0.2,236,34,19,46,15,156,0.5588235294117647,0.2923076923076923,0.22772277227722773,0.2754237288135593,76.0,32.20338983050847
2026,60,2,active_bayes,0.3333333333333333,236,34,9,15,25,187,0.2647058823529412,0.375,0.07425742574257425,0.1016949152542373,65.0,27.54237288135593
2026,60,5,logistic_empirical,0.27489697674314656,236,34,7,12,27,190,0.20588235294117646,0.3684210526315789,0.0594059405940594,0.08050847457627118,147.0,62.28813559322034
